tic_id,true_label,predicted_label,decision,is_correct_class,is_planet_candidate,candidate_priority,planet_threshold,threshold_source,confidence,planet_probability,prob_eclipsing_binary,prob_false_positive,prob_planet,period_days,duration_hours,depth_percent,snr,bls_power,n_points_used,n_in_transit_points,n_detected_transits,odd_even_depth_difference,secondary_eclipse_depth,v_shape_score,baseline_days
320004517,planet,planet,Strong planet candidate,True,True,high,0.2,optimized,0.6857103968665693,0.6857103968665693,0.048620656639716445,0.2656689464937154,0.6857103968665693,8.73668670588274,3.672,0.0524298275729973,23.693368861798547,3.801997723514752e-05,19435,327,3,0.0006268133179884,9.69631082792244e-06,0.0001032709434674,28.436286794048783
144065872,planet,planet,Strong planet candidate,True,True,high,0.2,optimized,0.6835724079672854,0.6835724079672854,0.06604552603735779,0.2503820659953582,0.6835724079672854,2.184913659424344,2.52,0.570525861553195,61.62763059609578,0.0011126307260579,17477,71,13,0.0003381898387686,0.0001646585006634,,27.880655831608465
7088246,planet,planet,Strong planet candidate,True,True,high,0.2,optimized,0.6403368276462781,0.6403368276462781,0.16043906286255444,0.19922410949116703,0.6403368276462781,2.160233078742179,1.296,1.0610574701032438,20.95873507777309,0.0223088726374518,17072,422,11,0.0013049107838728,-0.000227251312846,0.0047813077050276,25.123573490728177
149603524,planet,planet,Strong planet candidate,True,True,high,0.2,optimized,0.6372683194461113,0.6372683194461113,0.07956731489268554,0.2831643656612042,0.6372683194461113,4.4110454442379945,3.672,0.3791750056448162,36.86759666826327,0.0004810864364793,17744,71,7,0.0008265895173564,-1.9919821009573013e-05,,27.880674144442537
6663331,planet,planet,Possible planet candidate,True,True,medium,0.2,optimized,0.5846541644288228,0.5846541644288228,0.21639753791345523,0.1989482976577219,0.5846541644288228,3.180490632342861,1.872,1.2716134054030936,30.39484598937579,0.0361724868321571,16648,437,8,6.501490229504636e-05,0.0003785713896808,0.004460699390511,25.356860524003423
16288184,planet,planet,Possible planet candidate,True,True,medium,0.2,optimized,0.556198294054655,0.556198294054655,0.21014524265986712,0.23365646328547784,0.556198294054655,2.181008544606214,2.52,1.040554835035612,53.320897217713885,0.0362528788398877,15866,669,11,0.00038399631213,2.0226002873324767e-05,0.0028299930517604,24.83617610436545
406976746,planet,planet,Possible planet candidate,True,True,medium,0.2,optimized,0.539094508582854,0.539094508582854,0.20168975199232692,0.2592157394248187,0.539094508582854,12.781878028730732,2.52,0.2390349355795185,35.31421250613497,0.0002721986803843,17329,109,2,0.0031178571315891,-2.217038207219524e-05,0.0005003161535094,26.51404651211442
20318757,planet,planet,Possible planet candidate,True,True,medium,0.2,optimized,0.5368607695816796,0.5368607695816796,0.07640818537017582,0.38673104504814504,0.5368607695816796,3.2842644207835336,1.296,0.1123038008347343,8.190902838905828,0.0002173640060085,18524,372,8,0.0004771444906072,-3.7747567529722303e-05,0.0003219543256911,23.85100542258715
101230735,planet,planet,Possible planet candidate,True,True,medium,0.2,optimized,0.5296001830240009,0.5296001830240009,0.08883141425225297,0.3815684027237465,0.5296001830240009,2.0688242061737974,0.72,0.0419976023786405,7.717789167233856,2.6220325247344743e-05,17222,231,12,1.683930174478654e-05,9.821657090181012e-05,0.0002543561366173,25.332269121707213
50309953,false_positive,planet,Possible planet candidate,False,True,medium,0.2,optimized,0.5184980212246065,0.5184980212246065,0.03927769566927981,0.44222428310611356,0.5184980212246065,3.5200382465932667,2.52,0.0497559231658617,13.629308348312131,6.764256891872099e-05,18277,581,8,0.0003614737983576,3.706594838304156e-05,0.0001210658701989,27.880324764477564
38846515,planet,planet,Possible planet candidate,True,True,medium,0.2,optimized,0.5119870315520834,0.5119870315520834,0.18948078803834642,0.2985321804095702,0.5119870315520834,2.8491223612908065,3.096,0.4461512921692501,90.32526756250212,0.0070292662618594,15880,708,9,6.137343654344374e-05,6.100745051118572e-05,0.0007634499412458,26.10168073895852
341420329,planet,planet,Possible planet candidate,True,True,medium,0.2,optimized,0.49997055976651744,0.49997055976651744,0.23317821244072864,0.26685122779275344,0.49997055976651744,5.233305739857351,3.096,0.9916910523900202,57.35664067941567,0.0046493250244816,16569,97,5,0.0006621594504789,0.0001370019560532,,25.04481962805357
146172354,planet,planet,Possible planet candidate,True,True,medium,0.2,optimized,0.4927857548073364,0.4927857548073364,0.12437429172967415,0.38283995346299005,0.4927857548073364,3.780026883068991,3.096,0.1897773580810335,16.1097773870155,0.0011186526636028,18475,666,6,0.0004114412672183,-9.504939541371547e-05,0.0006857186453919,23.82227310171811
